"customer_id","customer_name","segment","region","city","state","postal_code"
"CC-12670","Craig Carreira","Consumer","East","New York City","New York","10009"
"Dl-13600","Dorris liebe","Corporate","Central","Pasadena","Texas","77506"
"RC-19825","Roy Collins","Consumer","Central","Chicago","Illinois","60610"
"AH-10210","Alan Hwang","Consumer","West","Brentwood","California","94513"
"CA-12310","Christine Abelman","Corporate","East","Cincinnati","Ohio","45231"
"JO-15280","Jas O'Carroll","Consumer","West","Los Angeles","California","90004"
"AS-10225","Alan Schoenberger","Corporate","East","New York City","New York","10024"
"CR-12625","Corey Roper","Home Office","East","Lakewood","New Jersey","8701"
"BP-11185","Ben Peterman","Corporate","West","Arvada","Colorado","80004"
"AG-10525","Andy Gerbode","Corporate","South","Saint Petersburg","Florida","33710"
"NM-18445","Nathan Mautz","Home Office","East","New York City","New York","10024"
"DJ-13510","Don Jones","Corporate","South","Murfreesboro","Tennessee","37130"
"DB-13615","Doug Bickford","Consumer","West","Los Angeles","California","90045"
"AC-10420","Alyssa Crouse","Corporate","West","San Francisco","California","94122"
"TD-20995","Tamara Dahlen","Consumer","East","Lowell","Massachusetts","1852"
"AB-10060","Adam Bellavance","Home Office","East","New York City","New York","10009"
"JL-15505","Jeremy Lonsdale","Consumer","East","New York City","New York","10035"
"VB-21745","Victoria Brennan","Corporate","South","Columbus","Georgia","31907"
"DK-13225","Dean Katz","Corporate","East","Philadelphia","Pennsylvania","19140"
"MV-18190","Mike Vittorini","Consumer","East","New York City","New York","10009"
"BP-11095","Bart Pistole","Corporate","Central","Peoria","Illinois","61604"
"AG-10675","Anna Gayman","Consumer","Central","Houston","Texas","77036"
"KH-16510","Keith Herrera","Consumer","West","San Francisco","California","94110"
"KC-16675","Kimberly Carter","Corporate","West","Seattle","Washington","98105"
"VB-21745","Victoria Brennan","Corporate","South","Richmond","Kentucky","40475"
"SP-20860","Sung Pak","Corporate","West","Los Angeles","California","90045"
"SD-20485","Shirley Daniels","Home Office","East","New Rochelle","New York","10801"
"KH-16630","Ken Heidel","Corporate","Central","San Antonio","Texas","78207"
"DB-13060","Dave Brooks","Consumer","East","Lowell","Massachusetts","1852"
"PO-19180","Philisse Overcash","Home Office","Central","Chicago","Illinois","60623"
"PK-19075","Pete Kriz","Consumer","Central","Detroit","Michigan","48227"
"RB-19360","Raymond Buch","Consumer","East","Auburn","New York","13021"
"SC-20095","Sanjit Chand","Consumer","West","Concord","California","94521"
"JP-15520","Jeremy Pistek","Consumer","West","San Francisco","California","94110"
"KH-16690","Kristen Hastings","Corporate","West","Los Angeles","California","90008"
"XP-21865","Xylona Preis","Consumer","West","San Diego","California","92024"
"MT-18070","Michelle Tran","Home Office","West","Los Angeles","California","90045"
"CW-11905","Carl Weiss","Home Office","Central","Huntsville","Texas","77340"
"SS-20590","Sonia Sunley","Consumer","West","Seattle","Washington","98115"
"EB-13705","Ed Braxton","Corporate","East","New York City","New York","10024"
"MG-18145","Mike Gockenbach","Consumer","East","Philadelphia","Pennsylvania","19134"
"KB-16240","Karen Bern","Corporate","West","Los Angeles","California","90036"
"JC-15340","Jasper Cacioppo","Consumer","West","Los Angeles","California","90032"
"AA-10375","Allen Armold","Consumer","West","Mesa","Arizona","85204"
"EP-13915","Emily Phan","Consumer","Central","Chicago","Illinois","60653"
"MP-17470","Mark Packer","Home Office","East","New York City","New York","10009"
"DK-12985","Darren Koutras","Consumer","South","Henderson","Kentucky","42420"
"BD-11500","Bradley Drucker","Consumer","Central","Green Bay","Wisconsin","54302"
"PG-18895","Paul Gonzalez","Consumer","Central","Fort Worth","Texas","76106"
"RC-19960","Ryan Crowe","Consumer","South","Jacksonville","Florida","32216"
"AJ-10945","Ashley Jarboe","Consumer","South","Wilmington","North Carolina","28403"
"OT-18730","Olvera Toch","Consumer","West","Los Angeles","California","90045"
"JF-15490","Jeremy Farry","Consumer","West","Seattle","Washington","98105"
"FP-14320","Frank Preis","Consumer","West","Los Angeles","California","90008"
"EB-13840","Ellis Ballard","Corporate","West","Seattle","Washington","98105"
"SF-20200","Sarah Foster","Consumer","West","Marysville","Washington","98270"
"CC-12145","Charles Crestani","Consumer","West","Los Angeles","California","90004"
"DV-13465","Dianna Vittorini","Consumer","West","Denver","Colorado","80219"
"BD-11725","Bruce Degenhardt","Consumer","South","Richmond","Kentucky","40475"
"MS-17830","Melanie Seite","Consumer","Central","Laredo","Texas","78041"
"LR-16915","Lena Radford","Consumer","West","San Diego","California","92024"
"GD-14590","Giulietta Dortch","Corporate","East","Philadelphia","Pennsylvania","19143"
"FM-14380","Fred McMath","Consumer","West","Aurora","Colorado","80013"
"DJ-13420","Denny Joy","Corporate","South","Warner Robins","Georgia","31088"
"SC-20305","Sean Christensen","Consumer","Central","Rochester Hills","Michigan","48307"
"BB-10990","Barry Blumstein","Corporate","West","Sierra Vista","Arizona","85635"
"AR-10825","Anthony Rawles","Corporate","West","Vancouver","Washington","98661"
"RC-19825","Roy Collins","Consumer","South","Louisville","Kentucky","40214"
"TH-21235","Tiffany House","Corporate","Central","Dallas","Texas","75081"
"MO-17800","Meg O'Connel","Home Office","Central","Chicago","Illinois","60653"
"RB-19570","Rob Beeghly","Consumer","Central","Columbus","Indiana","47201"
"GT-14635","Grant Thornton","Corporate","South","Burlington","North Carolina","27217"
"MC-17845","Michael Chen","Consumer","South","Jackson","Mississippi","39212"
"Dl-13600","Dorris liebe","Corporate","East","Cleveland","Ohio","44105"
"AS-10285","Alejandro Savely","Corporate","West","Seattle","Washington","98103"
"JK-15370","Jay Kimmel","Consumer","West","Long Beach","California","90805"
"BN-11470","Brad Norvell","Corporate","South","Cary","North Carolina","27511"
"DP-13165","David Philippe","Consumer","East","New York City","New York","10035"
"TH-21550","Tracy Hopkins","Home Office","East","New York City","New York","10035"
"AP-10915","Arthur Prichep","Consumer","South","Palm Coast","Florida","32137"
"Dl-13600","Dorris liebe","Corporate","West","Seattle","Washington","98105"
"SV-20365","Seth Vernon","Consumer","East","Dover","Delaware","19901"
"CK-12325","Christine Kargatis","Home Office","West","Orem","Utah","84057"
"MR-17545","Mathew Reese","Home Office","East","Philadelphia","Pennsylvania","19140"
"SC-20695","Steve Chapman","Corporate","South","Hialeah","Florida","33012"
"EG-13900","Emily Grady","Consumer","East","Oceanside","New York","11572"
"GZ-14470","Gary Zandusky","Consumer","West","San Francisco","California","94110"
"PO-19195","Phillina Ober","Home Office","Central","Naperville","Illinois","60540"
"RF-19735","Roland Fjeld","Consumer","Central","Trenton","Michigan","48183"
"MS-17830","Melanie Seite","Consumer","West","Los Angeles","California","90036"
"JC-16105","Julie Creighton","Corporate","South","Atlanta","Georgia","30318"
"LH-17020","Lisa Hazard","Consumer","East","Columbus","Ohio","43229"
"BM-11785","Bryan Mills","Consumer","East","Columbus","Ohio","43229"
"LT-17110","Liz Thompson","Consumer","West","Lancaster","California","93534"
"MC-18130","Mike Caudle","Corporate","South","Monroe","Louisiana","71203"
"RA-19915","Russell Applegate","Consumer","West","Denver","Colorado","80219"
"AA-10375","Allen Armold","Consumer","Central","Omaha","Nebraska","68104"
"PG-18820","Patrick Gardner","Consumer","West","San Francisco","California","94110"
"LH-17020","Lisa Hazard","Consumer","Central","Tyler","Texas","75701"
"JL-15175","James Lanier","Home Office","South","Columbia","Tennessee","38401"
"EB-13705","Ed Braxton","Corporate","Central","Fort Worth","Texas","76106"
"EM-14095","Eudokia Martin","Corporate","West","Los Angeles","California","90036"
"GA-14725","Guy Armstrong","Consumer","East","Lorain","Ohio","44052"
"CK-12760","Cyma Kinney","Corporate","East","Linden","New Jersey","7036"
"BK-11260","Berenike Kampe","Consumer","East","New York City","New York","10035"
"SJ-20125","Sanjit Jacobs","Home Office","East","New Brunswick","New Jersey","8901"
"CM-12445","Chuck Magee","Consumer","West","San Francisco","California","94122"
"AJ-10795","Anthony Johnson","Corporate","South","Jacksonville","Florida","32216"
"AJ-10780","Anthony Jacobs","Corporate","South","Springfield","Virginia","22153"
"GP-14740","Guy Phonely","Corporate","East","Lancaster","Pennsylvania","17602"
"PK-18910","Paul Knutson","Home Office","East","Philadelphia","Pennsylvania","19143"
"SM-20005","Sally Matthias","Consumer","East","New York City","New York","10009"
"DK-13090","Dave Kipp","Consumer","South","Springfield","Virginia","22153"
"CK-12760","Cyma Kinney","Corporate","West","San Francisco","California","94122"
"PC-18745","Pamela Coakley","Corporate","West","San Francisco","California","94122"
"HL-15040","Hunter Lopez","Consumer","Central","Houston","Texas","77095"
"MS-17365","Maribeth Schnelling","Consumer","Central","Detroit","Michigan","48227"
"JR-16210","Justin Ritter","Corporate","East","Springfield","Ohio","45503"
"TD-20995","Tamara Dahlen","Consumer","Central","Garland","Texas","75043"
"LC-17140","Logan Currie","Consumer","West","Los Angeles","California","90032"
"BE-11335","Bill Eplett","Home Office","Central","Jackson","Michigan","49201"
"RW-19630","Rob Williams","Corporate","Central","Dallas","Texas","75220"
"RC-19825","Roy Collins","Consumer","South","Alexandria","Virginia","22304"
"SE-20110","Sanjit Engle","Consumer","East","New York City","New York","10009"
"JJ-15760","Joel Jenkins","Home Office","South","Springfield","Virginia","22153"
"RK-19300","Ralph Kennedy","Consumer","East","Philadelphia","Pennsylvania","19140"
"RA-19885","Ruben Ausman","Corporate","West","Farmington","New Mexico","87401"
"KH-16360","Katherine Hughes","Consumer","East","Philadelphia","Pennsylvania","19143"
"CV-12805","Cynthia Voltz","Corporate","West","San Francisco","California","94110"
"BS-11800","Bryan Spruell","Home Office","East","New York City","New York","10011"
"PO-19195","Phillina Ober","Home Office","East","New York City","New York","10011"
"TD-20995","Tamara Dahlen","Consumer","West","Portland","Oregon","97206"
"KB-16600","Ken Brennan","Corporate","Central","Columbus","Indiana","47201"
"EB-13870","Emily Burns","Consumer","East","New York City","New York","10035"
"TZ-21580","Tracy Zic","Consumer","West","Louisville","Colorado","80027"
"TS-21340","Toby Swindell","Consumer","Central","Houston","Texas","77041"
"TS-21610","Troy Staebel","Consumer","East","New York City","New York","10024"
"MT-17815","Meg Tillman","Consumer","West","Scottsdale","Arizona","85254"
"AT-10735","Annie Thurman","Consumer","Central","Chicago","Illinois","60653"
"KM-16225","Kalyca Meade","Corporate","East","New York City","New York","10011"
"DE-13255","Deanra Eno","Home Office","East","Springfield","Ohio","45503"
"LA-16780","Laura Armstrong","Corporate","East","Hackensack","New Jersey","7601"
"MO-17500","Mary O'Rourke","Consumer","East","New York City","New York","10035"
"NS-18640","Noel Staavos","Corporate","Central","Chicago","Illinois","60610"
"SN-20710","Steve Nguyen","Home Office","Central","Rockford","Illinois","61107"
"ZC-21910","Zuschuss Carroll","Consumer","South","Miami","Florida","33142"
"DG-13300","Deirdre Greer","Corporate","East","Philadelphia","Pennsylvania","19134"
"NF-18595","Nicole Fjeld","Home Office","East","New York City","New York","10009"
"BP-11185","Ben Peterman","Corporate","West","San Diego","California","92037"
"BD-11620","Brian DeCherney","Consumer","West","San Francisco","California","94122"
"MS-17710","Maurice Satty","Consumer","West","Mesa","Arizona","85204"
"KD-16270","Karen Daniels","Consumer","East","Yonkers","New York","10701"
"LC-16870","Lena Cacioppo","Consumer","Central","Des Moines","Iowa","50315"
"LW-16990","Lindsay Williams","Corporate","South","Monroe","North Carolina","28110"
"NP-18325","Naresj Patel","Consumer","West","San Diego","California","92105"
"CS-12355","Christine Sundaresam","Consumer","South","Roswell","Georgia","30076"
"PA-19060","Pete Armstrong","Home Office","Central","Richmond","Indiana","47374"
"BD-11605","Brian Dahlen","Consumer","South","Springfield","Virginia","22153"
"GG-14650","Greg Guthrie","Corporate","West","Antioch","California","94509"
"JS-15940","Joni Sundaresam","Home Office","East","Philadelphia","Pennsylvania","19134"
"LR-16915","Lena Radford","Consumer","South","Homestead","Florida","33030"
"FH-14275","Frank Hawley","Corporate","Central","La Porte","Indiana","46350"
"NC-18340","Nat Carroll","Consumer","Central","Lansing","Michigan","48911"
"CB-12535","Claudia Bergmann","Corporate","East","Cuyahoga Falls","Ohio","44221"
"GB-14530","George Bell","Corporate","West","Los Angeles","California","90004"
"LT-16765","Larry Tron","Consumer","West","Escondido","California","92025"
"AP-10720","Anne Pryor","Home Office","East","New York City","New York","10035"
"PM-18940","Paul MacIntyre","Consumer","Central","Jackson","Michigan","49201"
"KC-16540","Kelly Collister","Consumer","West","Seattle","Washington","98115"
"DL-13315","Delfina Latchford","Consumer","East","New York City","New York","10035"
"SW-20275","Scott Williamson","Consumer","Central","Royal Oak","Michigan","48073"
"JE-15745","Joel Eaton","Consumer","East","Rockville","Maryland","20852"
"ZC-21910","Zuschuss Carroll","Consumer","Central","Houston","Texas","77041"
"LH-16750","Larry Hughes","Consumer","South","Charlotte","North Carolina","28205"
"SP-20620","Stefania Perrino","Corporate","East","Philadelphia","Pennsylvania","19134"
"BF-11170","Ben Ferrer","Home Office","West","Los Angeles","California","90036"
"BM-11140","Becky Martin","Consumer","East","New York City","New York","10024"
"ZC-21910","Zuschuss Carroll","Consumer","West","Los Angeles","California","90045"
"GM-14680","Greg Matthias","Consumer","West","Seattle","Washington","98105"
"NP-18700","Nora Preis","Consumer","West","Fresno","California","93727"
"IM-15070","Irene Maddox","Consumer","Central","Milwaukee","Wisconsin","53209"
"MH-18115","Mick Hernandez","Home Office","East","Chester","Pennsylvania","19013"
"CS-12355","Christine Sundaresam","Consumer","East","Long Beach","New York","11561"
"CC-12220","Chris Cortes","Consumer","Central","La Porte","Indiana","46350"
"PF-19225","Phillip Flathmann","Consumer","West","San Francisco","California","94122"
"DC-12850","Dan Campbell","Consumer","South","Florence","Alabama","35630"
"BD-11770","Bryan Davis","Consumer","Central","Houston","Texas","77070"
"KC-16255","Karen Carlisle","Corporate","South","Macon","Georgia","31204"
"TR-21325","Toby Ritter","Consumer","Central","Cedar Rapids","Iowa","52402"
"SA-20830","Sue Ann Reed","Consumer","South","Jacksonville","Florida","32216"
"KW-16435","Katrina Willman","Consumer","Central","Austin","Texas","78745"
"AD-10180","Alan Dominguez","Home Office","East","New York City","New York","10035"
"CC-12430","Chuck Clark","Home Office","West","San Francisco","California","94122"
"QJ-19255","Quincy Jones","Corporate","Central","Saint Paul","Minnesota","55106"
"AA-10315","Alex Avila","Consumer","West","San Francisco","California","94109"
"CS-12460","Chuck Sachs","Consumer","South","Columbus","Georgia","31907"
"FM-14380","Fred McMath","Consumer","East","Lawrence","Massachusetts","1841"
"HA-14920","Helen Andreada","Consumer","East","Philadelphia","Pennsylvania","19120"
"LW-16825","Laurel Workman","Corporate","South","Deltona","Florida","32725"
"MC-17575","Matt Collins","Consumer","East","Cincinnati","Ohio","45231"
"LP-17095","Liz Preis","Consumer","South","Murray","Kentucky","42071"
"EB-14170","Evan Bailliet","Consumer","South","Wilmington","North Carolina","28403"
"AB-10255","Alejandro Ballentine","Home Office","East","Lorain","Ohio","44052"
"HP-14815","Harold Pawlan","Home Office","West","Los Angeles","California","90049"
"JF-15190","Jamie Frazer","Consumer","West","Los Angeles","California","90008"
"AS-10045","Aaron Smayling","Corporate","South","Jacksonville","North Carolina","28540"
"BP-11290","Beth Paige","Consumer","Central","Evanston","Illinois","60201"
"LW-16990","Lindsay Williams","Corporate","West","San Francisco","California","94109"
"DC-12850","Dan Campbell","Consumer","Central","Houston","Texas","77036"
"ND-18370","Natalie DeCherney","Consumer","South","Louisville","Kentucky","40214"
"AB-10600","Ann Blume","Corporate","West","Tucson","Arizona","85705"
"SZ-20035","Sam Zeldin","Home Office","West","Pico Rivera","California","90660"
"MG-17890","Michael Granlund","Home Office","East","Clinton","Maryland","20735"
"KM-16720","Kunst Miller","Consumer","West","Vallejo","California","94591"
"VD-21670","Valerie Dominguez","Consumer","West","Pleasant Grove","Utah","84062"
"JK-16120","Julie Kriz","Home Office","Central","Aurora","Illinois","60505"
"PP-18955","Paul Prost","Home Office","South","Smyrna","Georgia","30080"
"YS-21880","Yana Sorensen","Corporate","South","Burlington","North Carolina","27217"
"CK-12760","Cyma Kinney","Corporate","Central","Aurora","Illinois","60505"
"KM-16375","Katherine Murray","Home Office","South","Salem","Virginia","24153"
"SD-20485","Shirley Daniels","Home Office","East","Philadelphia","Pennsylvania","19143"
"KD-16270","Karen Daniels","Consumer","East","New York City","New York","10024"
"SZ-20035","Sam Zeldin","Home Office","Central","Grand Prairie","Texas","75051"
"JD-15895","Jonathan Doherty","Corporate","East","New York City","New York","10035"
"BD-11320","Bill Donatelli","Consumer","East","Providence","Rhode Island","2908"
"PW-19030","Pauline Webber","Corporate","South","Richmond","Kentucky","40475"
"SC-20440","Shaun Chance","Corporate","West","Aurora","Colorado","80013"
"JB-15400","Jennifer Braxton","Corporate","West","Los Angeles","California","90008"
"ME-17320","Maria Etezadi","Home Office","South","Columbus","Georgia","31907"
"AA-10480","Andrew Allen","Consumer","East","Middletown","Connecticut","6457"
"LC-17140","Logan Currie","Consumer","West","Seattle","Washington","98103"
"MB-18085","Mick Brown","Consumer","East","Vineland","New Jersey","8360"
"MB-17305","Maria Bertelson","Consumer","West","Glendale","Arizona","85301"
"DK-12835","Damala Kotsonis","Corporate","Central","Detroit","Michigan","48234"
"KN-16390","Katherine Nockton","Corporate","West","Los Angeles","California","90004"
"NM-18520","Neoma Murray","Consumer","Central","Houston","Texas","77036"
"MK-18160","Mike Kennedy","Consumer","West","San Francisco","California","94122"
"CM-12655","Corinna Mitchell","Home Office","West","Los Angeles","California","90008"
"JD-15790","John Dryer","Consumer","Central","Coppell","Texas","75019"
"NG-18430","Nathan Gelder","Consumer","Central","Austin","Texas","78745"
"PC-19000","Pauline Chand","Home Office","West","Los Angeles","California","90004"
"LS-16975","Lindsay Shagiari","Home Office","Central","Omaha","Nebraska","68104"
"JM-15535","Jessica Myrick","Consumer","West","Los Angeles","California","90036"
"AI-10855","Arianne Irving","Consumer","East","Philadelphia","Pennsylvania","19120"
"MC-17845","Michael Chen","Consumer","West","North Las Vegas","Nevada","89031"
"TB-21400","Tom Boeckenhauer","Consumer","West","Seattle","Washington","98105"
"VW-21775","Victoria Wilson","Corporate","West","San Francisco","California","94110"
"GH-14425","Gary Hwang","Consumer","West","Tucson","Arizona","85705"
"MC-18130","Mike Caudle","Corporate","East","Newark","Delaware","19711"
"EB-13840","Ellis Ballard","Corporate","East","New York City","New York","10035"
"MP-18175","Mike Pelletier","Home Office","West","Laguna Niguel","California","92677"
"CK-12205","Chloris Kastensmidt","Consumer","East","Columbus","Ohio","43229"
"DB-13270","Deborah Brumfield","Home Office","West","San Diego","California","92024"
"EP-13915","Emily Phan","Consumer","East","New York City","New York","10011"
"JS-15940","Joni Sundaresam","Home Office","Central","Appleton","Wisconsin","54915"
"VW-21775","Victoria Wilson","Corporate","West","Bellevue","Washington","98006"
"AB-10150","Aimee Bixby","Consumer","East","Long Beach","New York","11561"
"JW-16075","Julia West","Consumer","East","Philadelphia","Pennsylvania","19140"
"EB-13750","Edward Becker","Corporate","West","Seattle","Washington","98103"
"PK-18910","Paul Knutson","Home Office","West","San Francisco","California","94109"
"CS-12400","Christopher Schild","Home Office","West","Seattle","Washington","98115"
"CM-12190","Charlotte Melton","Consumer","East","Philadelphia","Pennsylvania","19134"
"CL-12565","Clay Ludtke","Consumer","South","Columbia","South Carolina","29203"
"DV-13465","Dianna Vittorini","Consumer","West","Los Angeles","California","90004"
"NP-18325","Naresj Patel","Consumer","East","New York City","New York","10024"
"VG-21805","Vivek Grady","Corporate","South","Virginia Beach","Virginia","23464"
"MD-17350","Maribeth Dona","Consumer","East","Columbus","Ohio","43229"
"GB-14530","George Bell","Corporate","East","Dover","Delaware","19901"
"CA-12775","Cynthia Arntzen","Consumer","South","Smyrna","Tennessee","37167"
"JK-16120","Julie Kriz","Home Office","Central","Eagan","Minnesota","55122"
"PN-18775","Parhena Norris","Home Office","East","New York City","New York","10011"
"JC-15385","Jenna Caffey","Consumer","West","Kent","Washington","98031"
"CL-12565","Clay Ludtke","Consumer","East","Cleveland","Ohio","44105"
"VM-21685","Valerie Mitchum","Home Office","East","Philadelphia","Pennsylvania","19140"
"HL-15040","Hunter Lopez","Consumer","Central","Milwaukee","Wisconsin","53209"
"RD-19585","Rob Dowd","Consumer","Central","Plano","Texas","75023"
"SW-20455","Shaun Weien","Consumer","South","Suffolk","Virginia","23434"
"SB-20290","Sean Braxton","Corporate","East","Philadelphia","Pennsylvania","19134"
"CB-12535","Claudia Bergmann","Corporate","West","San Francisco","California","94110"
"AW-10840","Anthony Witt","Consumer","East","Philadelphia","Pennsylvania","19140"
"HF-14995","Herbert Flentye","Consumer","Central","Indianapolis","Indiana","46203"
"SC-20725","Steven Cartwright","Consumer","West","Seattle","Washington","98115"
"CD-12790","Cynthia Delaney","Home Office","West","San Diego","California","92037"
"PG-18820","Patrick Gardner","Consumer","West","Glendale","Arizona","85301"
"MM-18055","Michelle Moray","Consumer","Central","Chicago","Illinois","60610"
"DC-13285","Debra Catini","Consumer","West","San Francisco","California","94110"
"CA-12265","Christina Anderson","Consumer","South","Springfield","Virginia","22153"
"LH-17155","Logan Haushalter","Consumer","Central","Dallas","Texas","75081"
"DB-13120","David Bremer","Corporate","West","San Francisco","California","94122"
"ED-13885","Emily Ducich","Home Office","West","San Diego","California","92037"
"BM-11785","Bryan Mills","Consumer","East","Rochester","New York","14609"
"VW-21775","Victoria Wilson","Corporate","West","San Francisco","California","94122"
"TT-21460","Tonja Turnell","Home Office","Central","Fort Worth","Texas","76106"
"RM-19375","Raymond Messe","Consumer","Central","Houston","Texas","77095"
"MB-18085","Mick Brown","Consumer","East","Philadelphia","Pennsylvania","19143"
"AG-10900","Arthur Gainer","Consumer","West","San Diego","California","92105"
"ML-17755","Max Ludwig","Home Office","South","Suffolk","Virginia","23434"
"SC-20770","Stewart Carmichael","Corporate","Central","Dallas","Texas","75081"
"BD-11770","Bryan Davis","Consumer","East","New York City","New York","10011"
"CB-12535","Claudia Bergmann","Corporate","East","Franklin","Massachusetts","2038"
"RP-19390","Resi Pölking","Consumer","Central","Madison","Wisconsin","53711"
"TB-21175","Thomas Boland","Corporate","Central","Houston","Texas","77041"
"BE-11455","Brad Eason","Home Office","Central","Olathe","Kansas","66062"
"RM-19375","Raymond Messe","Consumer","West","San Jose","California","95123"
"JF-15565","Jill Fjeld","Consumer","Central","Dallas","Texas","75081"
"PB-19210","Phillip Breyer","Corporate","Central","Tulsa","Oklahoma","74133"
"FO-14305","Frank Olsen","Consumer","South","Harrisonburg","Virginia","22801"
"LL-16840","Lauren Leatherbury","Consumer","West","Seattle","Washington","98105"
"GB-14530","George Bell","Corporate","South","Monroe","North Carolina","28110"
"AS-10045","Aaron Smayling","Corporate","Central","Austin","Texas","78745"
"BF-10975","Barbara Fisher","Corporate","South","Charlotte","North Carolina","28205"
"FA-14230","Frank Atkinson","Corporate","Central","San Antonio","Texas","78207"
"DA-13450","Dianna Arnett","Home Office","East","Washington","District of Columbia","20016"
"FH-14275","Frank Hawley","Corporate","West","Los Angeles","California","90004"
"AC-10420","Alyssa Crouse","Corporate","Central","Houston","Texas","77041"
"JB-15400","Jennifer Braxton","Corporate","East","Bristol","Connecticut","6010"
"RF-19840","Roy Französisch","Consumer","Central","San Antonio","Texas","78207"
"NG-18355","Nat Gilpin","Corporate","East","Newark","Ohio","43055"
"MP-17470","Mark Packer","Home Office","East","Columbus","Ohio","43229"
"CJ-12010","Caroline Jumper","Consumer","East","Long Beach","New York","11561"
"LF-17185","Luke Foster","Consumer","East","New York City","New York","10011"
"AS-10090","Adam Shillingsburg","Consumer","South","Charlottesville","Virginia","22901"
"AC-10450","Amy Cox","Consumer","Central","Minneapolis","Minnesota","55407"
"RW-19540","Rick Wilson","Corporate","West","Los Angeles","California","90008"
"FH-14275","Frank Hawley","Corporate","Central","Houston","Texas","77041"
